LA code,Local Authority,Year,Frequency,Walking_%,Cycling_%
E12000002,North West,2011/12,3x per week,29,4
E12000003,Yorkshire and the Humber,2011/12,3x per week,30,4
E12000004,East Midlands,2011/12,3x per week,28,4
E12000005,West Midlands,2011/12,3x per week,28,3
E12000006,East of England,2011/12,3x per week,28,6
E12000007,London,2011/12,3x per week,27,5
E12000008,South East,2011/12,3x per week,29,5
E12000009,South West,2011/12,3x per week,31,5
E92000001,ENGLAND,2011/12,3x per week,29,5
E09000001,City of London,2011/12,5x per week,31,3
E09000002,Barking and Dagenham,2011/12,5x per week,21,3
E09000003,Barnet,2011/12,5x per week,19,1
E09000004,Bexley,2011/12,5x per week,21,2
E09000005,Brent,2011/12,5x per week,15,2
E09000006,Bromley,2011/12,5x per week,22,2
E09000007,Camden,2011/12,5x per week,28,5
E09000008,Croydon,2011/12,5x per week,20,1
E09000009,Ealing,2011/12,5x per week,14,2
E09000010,Enfield,2011/12,5x per week,23,1
E09000011,Greenwich,2011/12,5x per week,22,2
E09000012,Hackney,2011/12,5x per week,23,9
E09000013,Hammersmith and Fulham,2011/12,5x per week,27,6
E09000014,Haringey,2011/12,5x per week,19,3
E09000015,Harrow,2011/12,5x per week,14,2
E09000016,Havering,2011/12,5x per week,19,4
E09000017,Hillingdon,2011/12,5x per week,18,3
E09000018,Hounslow,2011/12,5x per week,18,7
E09000019,Islington,2011/12,5x per week,24,5
E09000020,Kensington and Chelsea,2011/12,5x per week,23,3
E09000021,Kingston upon Thames,2011/12,5x per week,18,2
E09000022,Lambeth,2011/12,5x per week,19,7
E09000023,Lewisham,2011/12,5x per week,25,3
E09000024,Merton,2011/12,5x per week,17,3
E09000025,Newham,2011/12,5x per week,21,2
E09000026,Redbridge,2011/12,5x per week,17,-
E09000027,Richmond upon Thames,2011/12,5x per week,24,7
E09000028,Southwark,2011/12,5x per week,19,7
E09000029,Sutton,2011/12,5x per week,19,3
E09000030,Tower Hamlets,2011/12,5x per week,20,3
E09000031,Waltham Forest,2011/12,5x per week,16,1
E09000032,Wandsworth,2011/12,5x per week,23,5
E09000033,Westminster,2011/12,5x per week,25,6
E12000001,North East,2011/12,5x per week,21,2
E12000002,North West,2011/12,5x per week,21,2
E12000003,Yorkshire and the Humber,2011/12,5x per week,21,2
E12000004,East Midlands,2011/12,5x per week,21,3
E12000005,West Midlands,2011/12,5x per week,20,2
E12000006,East of England,2011/12,5x per week,21,4
E12000007,London,2011/12,5x per week,20,3
E12000008,South East,2011/12,5x per week,21,3
E12000009,South West,2011/12,5x per week,22,3
E92000001,ENGLAND,2011/12,5x per week,21,3
E09000001,City of London,2012/13,1x per month,87,11
E09000002,Barking and Dagenham,2012/13,1x per month,85,9
E09000003,Barnet,2012/13,1x per month,88,10
E09000004,Bexley,2012/13,1x per month,83,8
E09000005,Brent,2012/13,1x per month,85,12
E09000006,Bromley,2012/13,1x per month,90,12
E09000007,Camden,2012/13,1x per month,94,16
E09000008,Croydon,2012/13,1x per month,88,12
E09000009,Ealing,2012/13,1x per month,86,16
E09000010,Enfield,2012/13,1x per month,82,9
E09000011,Greenwich,2012/13,1x per month,87,11
E09000012,Hackney,2012/13,1x per month,89,22
E09000013,Hammersmith and Fulham,2012/13,1x per month,91,24
E09000014,Haringey,2012/13,1x per month,91,16
E09000015,Harrow,2012/13,1x per month,88,7
E09000016,Havering,2012/13,1x per month,85,10
E09000017,Hillingdon,2012/13,1x per month,87,15
E09000018,Hounslow,2012/13,1x per month,88,14
E09000019,Islington,2012/13,1x per month,93,20
E09000020,Kensington and Chelsea,2012/13,1x per month,93,15
E09000021,Kingston upon Thames,2012/13,1x per month,90,22
E09000022,Lambeth,2012/13,1x per month,89,19
E09000023,Lewisham,2012/13,1x per month,87,13
E09000024,Merton,2012/13,1x per month,90,15
E09000025,Newham,2012/13,1x per month,82,6
E09000026,Redbridge,2012/13,1x per month,86,10
E09000027,Richmond upon Thames,2012/13,1x per month,94,34
E09000028,Southwark,2012/13,1x per month,92,21
E09000029,Sutton,2012/13,1x per month,87,10
E09000030,Tower Hamlets,2012/13,1x per month,92,17
E09000031,Waltham Forest,2012/13,1x per month,84,16
E09000032,Wandsworth,2012/13,1x per month,93,22
E09000033,Westminster,2012/13,1x per month,91,18
E12000001,North East,2012/13,1x per month,84,12
E12000002,North West,2012/13,1x per month,85,13
E12000003,Yorkshire and the Humber,2012/13,1x per month,86,14
E12000004,East Midlands,2012/13,1x per month,86,15
E12000005,West Midlands,2012/13,1x per month,85,12
E12000006,East of England,2012/13,1x per month,86,17
E12000007,London,2012/13,1x per month,88,15
E12000008,South East,2012/13,1x per month,88,17
E12000009,South West,2012/13,1x per month,87,17
E92000001,ENGLAND,2012/13,1x per month,86,15
E09000001,City of London,2012/13,1x per week,77,8
E09000002,Barking and Dagenham,2012/13,1x per week,75,7
E09000003,Barnet,2012/13,1x per week,81,6
E09000004,Bexley,2012/13,1x per week,76,3
E09000005,Brent,2012/13,1x per week,73,8
E09000006,Bromley,2012/13,1x per week,80,5
E09000007,Camden,2012/13,1x per week,88,11
E09000008,Croydon,2012/13,1x per week,80,6
E09000009,Ealing,2012/13,1x per week,78,10
E09000010,Enfield,2012/13,1x per week,71,6
E09000011,Greenwich,2012/13,1x per week,77,9
E09000012,Hackney,2012/13,1x per week,83,18
E09000013,Hammersmith and Fulham,2012/13,1x per week,85,19
E09000014,Haringey,2012/13,1x per week,83,10
E09000015,Harrow,2012/13,1x per week,78,5
E09000016,Havering,2012/13,1x per week,77,6
E09000017,Hillingdon,2012/13,1x per week,78,10
E09000018,Hounslow,2012/13,1x per week,80,8
E09000019,Islington,2012/13,1x per week,87,13
E09000020,Kensington and Chelsea,2012/13,1x per week,84,11
E09000021,Kingston upon Thames,2012/13,1x per week,82,12
E09000022,Lambeth,2012/13,1x per week,83,17
E09000023,Lewisham,2012/13,1x per week,80,10
E09000024,Merton,2012/13,1x per week,81,9
